school,clean_name,clean_city,clean_state,category
"Rosary Academy",NULL,NULL,NULL,high_school
"Valor Christian",NULL,NULL,NULL,high_school
"Life Center Academy",NULL,NULL,NULL,high_school
"Heathwood Hall, SC","Heathwood Hall",NULL,SC,high_school
"Hernando, MS",Hernando,NULL,MS,middle_school
"1 of 1 Prep,Academy","1 of 1 Prep",NULL,Academy,high_school
"South Meck, NC","South Meck",NULL,NC,high_school
"Pickerington Central, OH","Pickerington Central",NULL,OH,high_school
"Westwood, SC",Westwood,NULL,SC,high_school
"Riverdale Baptist",NULL,NULL,NULL,high_school
Mullen,NULL,NULL,NULL,high_school
"Arizona Compass",NULL,NULL,NULL,high_school
"Phoenix Country Day, AZ","Phoenix Country Day",NULL,AZ,high_school
"Sidwell Friends",NULL,NULL,NULL,high_school
"Arizona Compass, AZ","Arizona Compass",NULL,AZ,high_school
"Christ the King",NULL,NULL,NULL,high_school
"Kenwood Academy",NULL,NULL,NULL,high_school
"Westerville North",NULL,NULL,NULL,high_school
"AKRON Hoban",NULL,NULL,NULL,high_school
DeLaSalle,NULL,NULL,NULL,high_school
"Toledo Central Catholic",NULL,NULL,NULL,high_school
"JM Robinson, NC","JM Robinson",NULL,NC,high_school
"Cannon School",NULL,NULL,NULL,high_school
"Panther Creek",NULL,NULL,NULL,high_school
"Quality Education Academy, NC","Quality Education Academy",NULL,NC,high_school
"NYC Good Better Best Academy",NULL,NULL,NULL,high_school
"Legacy Early College",NULL,NULL,NULL,high_school
Chambers,NULL,NULL,NULL,high_school
"Concord Academy",NULL,NULL,NULL,high_school
Choctaw,NULL,NULL,NULL,high_school
Richland,NULL,NULL,NULL,high_school
"Northview Academy, TN","Northview Academy",NULL,TN,high_school
"Montgomery Catholic, AL","Montgomery Catholic",NULL,AL,high_school
"Seminole Ridge",NULL,NULL,NULL,high_school
"Xavier College Prep, AZ","Xavier College Prep",NULL,AZ,high_school
"Plainfield East",NULL,NULL,NULL,high_school
"Kettering Alter",NULL,NULL,NULL,high_school
"McEachern, GA",McEachern,NULL,GA,high_school
"Gilmour Academy, OH","Gilmour Academy",NULL,OH,high_school
"Milton, GA",Milton,NULL,GA,high_school
"Winchendon School",NULL,NULL,NULL,high_school
Stevenson,NULL,NULL,NULL,high_school
"Episcopal Collegiate",NULL,NULL,NULL,high_school
"Science Hill",NULL,NULL,NULL,high_school
"Millbrook Magnet",NULL,NULL,NULL,high_school
Clayton,NULL,NULL,NULL,high_school
"Abingdon, VA",Abingdon,NULL,VA,high_school
"Dyersburg, TN",Dyersburg,NULL,TN,high_school
"Warner Robbins, GA","Warner Robbins",NULL,GA,high_school
"Hebron Christian Academy, GA","Hebron Christian Academy",NULL,GA,high_school
Westview,NULL,NULL,NULL,high_school
"Webb School, TN","Webb School",NULL,TN,high_school
"Link Academy, MO","Link Academy",NULL,MO,high_school
"Mount Paran Christian School",NULL,NULL,NULL,high_school
"Lake Norman",NULL,NULL,NULL,high_school
"University Christian, FL","University Christian",NULL,FL,high_school
"Bartram Trail",NULL,NULL,NULL,high_school
"Baptist Prep, AR","Baptist Prep",NULL,AR,high_school
"St. Marys, CA","St. Marys",NULL,CA,high_school
"Oak City Prep, NC","Oak City Prep",NULL,NC,high_school
"Nova, FL",Nova,NULL,FL,high_school
"Tabor Academy, MA","Tabor Academy",NULL,MA,high_school
Ensworth,NULL,NULL,NULL,high_school
