id,school_name,city,state
288,"Booker T Washington",Tulsa,OK
289,"Cypress Spings, TX",Houston,TX
290,"Desert Vista, AZ",,SC
291,"Elite Prep, WA",Tacoma,WA
292,"Christ the King, NY",,NY
293,"Grandview, CO",Centennial,CO
294,"IMG Academy, FL",,PA
295,Garfield,"Federal Way",WA
296,"Clackamas, OR","Clackmas, OR",OR
297,"Valor Christian, GA",,GA
298,"Cherry Creek, CO",,CO
299,"Westtown, PA",,PA
300,"Independence, NC",Charlotte,NC
301,"Folsom, CA",,CA
302,"The Burlington School",Durham,NC
303,Franklinton,Youngsville,NC
304,"bedford, NH",,MA
305,"Legion Prep, TX",,TX
306,"Faith Family Academy, TX",Houston,TX
307,"Sandia, NM",,NM
308,"Mount Paran Christian, GA",Kennesaw,GA
309,"St James",,KS
310,"Grace Christian, NC",Nashville,TN
311,"Good Counsel, MD",,MD
312,"Sidwell Friends, DC",Baltimore,MD
313,"Edmond Memorial, OK",Stillwater,OK
314,"Hutchison, TN",Cordova,TN
315,"Blue Valley",,MO
316,"Grosse Pointe Academy, MI","Grosse Pointe",MI
317,Idabel,Elkins,AR
318,Fayetteville,Fayetteville,AR
319,"Shiloh Christian",Fayetteville,AR
320,"NMH, MA",Barrington,RI
321,"Boswell, TX","Fort Worth",TX
322,"RJ Reynolds",Hookerton,NC
323,TPLS,Apex,NC
324,"East Chapel Hill",Durham,NC
325,Lakeridge,Mansfield,TX
326,"PATRICK Henry",Roanoke,VA
327,"Chelsea, MI",Chelsea,MI
328,"Toledo Start, OH",Toledo,OH
329,"Regis Jesuit",Englewood,CO
330,Independence,Charlotte,NC
331,"Santiago, CA","Moreno Valley",CA
332,Carondelet,"Bay Point",CA
333,"New Kent","New Kent",VA
334,"Bullitt East","Mt Washington",KY
335,"Calloway County",Murray,KY
336,"Calloway County, KY",Murray,KY
337,"Glenbrook South",,IL
338,"Cape Fear, NC",Fayetteville,NC
339,Cooper,Union,KY
340,"Cannon School",Charlotte,NC
341,"Kalamazoo Central",Kalamazoo,MI
342,"South Lyon East","South Lyon",MI
343,"Grand Rapids Catholic Central",Allendale,MI
344,"Ft. Gibson, OK",Rose,OK
345,Carroll,,IN
346,"Noblesville, IN",Noblesville,IN
347,"Grand Rapids Christian","Grand Rapids",MI
348,"Meade County",Brandenburg,KY
349,"McCracken County",Paducah,KY
350,"CAMPBELL County",Jacksboro,TN
351,Ashland,Catlettsburg,KY
352,"Seminaries Saint Francois","St-Augustin De Desmaures Quebec Canada",
353,"George Rogers Clark, KY",Paris,KY
354,"St. Thomas Aquinas, FL",Boca,FL
355,"St Francis","Powder Springs",GA
356,"Sage Hill","Costa Mesa",CA
357,"Sage Hill","Newport Beach",CA
358,"Athens Drive",Raleigh,NC
359,"Home School",,CA
360,"Beebe, AR",Beebe,AR
361,"Manchester Township, NJ",Whiting,NY
362,"Hilliard Davidson",Hilliard,OH
363,Chanhassen,Chanhassen,MN
364,"Gill St Bernards",Flanders,NJ
365,"Olentangy Liberty",Powell,OH
366,"Saint Viator","Mount Prospect",IL
367,Morristown,Morristown,NJ
368,"Shawnee Mission East","Mission Hills",KS
369,"Saint Thomas Aquinas",Lenexa,KS
370,"IMG Academy, FL","East Orange",NJ
371,"Rock Bridge, MO",Columbia,MO
372,"Washburn Rural, KS",Auburn,KS
373,"Our Lady of Lourdes",Columbia,MO
374,"South Laurel, KY",London,KY
375,"Wilmot Union, WI",Trevor,WI
376,"Fremd, IL",Schaumburg,IL
377,"Newton North",Newton,MA
378,"Dayton Early College Academy",Dayton,OH
379,"St Joseph, CA","Santa Maria",CA
380,"Cranbrook Kingswood, MI","Lathrup Village",MI
381,"Holy Cross",Independence,KY
382,"Lincoln-Way East, IL",Frankfort,IL
383,"Glenbrook South",Glenview,IL
384,"Blair Academy, NJ",,NJ
385,"Blair Academy, NJ",Pennington,NJ
386,"McDonogh, MD",McSherrytown,PA
387,"Maret School",Waldorf,MD
388,"St Paul VI Catholic, VA",Aldie,VA
389,"Bishop McNamara",Clinton,MD
390,973-609-0572,Voorhees,NJ
391,"Harry S Truman",Levittown,PA
392,"John Burroughs",Florissant,MO
393,"Lakeville South, MN",Elko,MN
394,Royalton,Royalton,MN
395,"Emma Willard School",Troy,NY
396,"Minnetonka, MN",Minnetonka,MN
397,"St. John Vianney, NJ",Fairfield,NJ
398,"Applewood Heights","Toronto Ontario Canada",
399,Fulton,Knoxville,TN
400,"Wasilla, AK",Wasilla,AK
401,Benton,Benton,AR
402,Dobyns-Bennett,Kingsport,TN
403,Conway,Conway,AR
404,"Coffee County",Manchester,TN
405,"Long Island Lutheran, NY",Portsmouth,VA
406,"Palm Bay, FL","Very Beach",FL
407,"Link Academy, MO",Frisco,TX
408,"Willow Spring","Fuquay Varina",NC
409,"North Raleigh Christian, NC",Raleigh,NC
410,"McMinn Central",Englewood,TN
411,"Cumberland Valley, PA",Enola,PA
412,"Bradley Central, TN","Estill Springs",TN
413,"Grace Christian, NC",Fuquay-Varina,NC
414,"Upper Dublin, PA","Upper Dublin, PA",PA
415,"Perkiomen School","Saratoga Springs",NY
416,"Noble & Greenough","Hyde Park",MA
417,"ES Saint Laurent","Montreal Quebec Canada",
418,Blacksburg,Blacksburg,VA
419,"Liberty Christian, VA",,VA
420,"Cardinal Mooney, FL",,FL
421,"Grayson, GA",,GA
422,"Verona Area, WI",Verona,WI
423,"Waupun Jr-Sr, WI",Waupun,WI
424,Hortonville,Hortonville,WI
425,MHLT,,WI
426,"Knoxville Catholic",Knoxville,TN
427,"Flint Powers Catholic, MI",Flint,MI
428,"Sidwell Friends, DC","Silver Spring",MD
429,"Holy Innocents Episcopal School",Atlanta,GA
430,"USJ, TN",Dyersburg,TN
